"ID","SampleName","Tree_Type","Rhizosphere_Manipulation","Substrate_Type","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","nmol_FAME_per_g_soil","Microbial_Group"
142,"11.10.1","G","1","L",2,"a15:0",0,38.955,-17.251,1.086792,0.7494,6.056,13906.52,"gram+bacteria"
143,"11.10.1","G","1","L",2,"15:0",0,3.82,-9.598,1.095163,0.7494,6.056,1363.7,"bacteria"
144,"11.10.1","G","1","L",2,"16:1n9/i16:0",0,4.454,37.219,1.146338,0.7606,6.056,1496.52,"bacteria"
145,"11.10.1","G","1","L",2,"16:0",0,43.355,56.616,1.167526,0.755,6.056,14565.72,"bacteria"
146,"11.10.1","G","1","L",2,"i17:0",0,7.022,-28.132,1.074889,0.76,6.056,2228.06,"gram+bacteria"
147,"11.10.1","G","1","L",2,"17:0cy",0,12.06,-14.826,1.089445,0.7654,6.056,3826.73,"gram-bacteria"
148,"11.10.1","G","1","L",2,"17:0",0,9.166,-20.171,1.083598,0.76,6.056,2908.36,"bacteria"
149,"11.10.1","G","1","L",2,"18:3n6",0,0.79,-4.087,1.10119,0.7765,6.056,250.67,"fungi"
150,"11.10.1","G","1","L",2,"trans-18:1n9",0,13.029,70.904,1.183126,0.7697,6.056,3916.61,"gram-bacteria"
151,"11.10.1","G","1","L",2,"18:0",0,8.72,75.561,1.18821,0.7645,6.056,2621.3,"bacteria"
152,"11.10.1","G","1","L",2,"19:0cy",0,43.986,-23.512,1.079943,0.7736,6.056,12561.57,"gram-bacteria"
153,"11.10.1","G","1","L",2,"19:0",0,14.435,-29.674,1.073202,0.8216,6.056,4122.39,"standard"
154,"11.10.1","G","1","L",2,"20:4n6",0,0.86,-24.357,1.079019,0.7919,6.056,233.91,"protozoa"
155,"11.10.1","G","1","L",2,"20:5n3",0,1.024,-29.803,1.07306,0.797,6.056,278.5,"protozoa"
156,"11.10.3","G","3","L",2,"12:0",0,14.193,-30.625,1.072161,0.7285,6.014,5610.68,"standard"
157,"11.10.3","G","3","L",2,"14:0",0,3.342,-7.183,1.097804,0.7432,6.014,1145.13,"bacteria"
158,"11.10.3","G","3","L",2,"a15:0",0,56.994,-17.058,1.087003,0.7494,6.014,18307.94,"gram+bacteria"
159,"11.10.3","G","3","L",2,"15:0",0,6.753,-15.168,1.089071,0.7494,6.014,2169.24,"bacteria"
160,"11.10.3","G","3","L",2,"16:1n9/i16:0",0,8.452,11.33,1.118045,0.7606,6.014,2555.33,"bacteria"
161,"11.10.3","G","3","L",2,"16:0",0,77.291,12.923,1.119787,0.755,6.014,23365.57,"bacteria"
162,"11.10.3","G","3","L",2,"i17:0",0,11.218,-30.664,1.072118,0.76,6.014,3202.85,"gram+bacteria"
163,"11.10.3","G","3","L",2,"17:0cy",0,17.01,-22.578,1.080965,0.7654,6.014,4856.68,"gram-bacteria"
164,"11.10.3","G","3","L",2,"17:0",0,12.139,-26.38,1.076806,0.76,6.014,3465.8,"bacteria"
165,"11.10.3","G","3","L",2,"18:3n6",0,0.943,-22.546,1.081,0.7765,6.014,269.24,"fungi"
166,"11.10.3","G","3","L",2,"trans-18:1n9",0,35.516,-6.403,1.098657,0.7697,6.014,9606.78,"gram-bacteria"
167,"11.10.3","G","3","L",2,"18:0",0,19.332,19.093,1.126531,0.7645,6.014,5229.16,"bacteria"
168,"11.10.3","G","3","L",2,"19:0cy",0,90.724,-28.01,1.075022,0.7736,6.014,23313.43,"gram-bacteria"
169,"11.10.3","G","3","L",2,"19:0",0,17.192,-33.058,1.069499,0.8216,6.014,4417.88,"standard"
170,"11.10.3","G","3","L",2,"20:4n6",0,1.544,-36.196,1.066065,0.7919,6.014,377.88,"protozoa"
171,"11.10.3","G","3","L",2,"20:5n3",0,1.612,-34.246,1.068199,0.797,6.014,394.5,"protozoa"
172,"11.06.2","G","2","S",3,"12:0",0,16.694,-30.335,1.072478,0.7285,6.007,6546.7,"standard"
173,"11.06.2","G","2","S",3,"14:0",0,1.09,-19.856,1.083942,0.7432,6.007,370.51,"bacteria"
174,"11.06.2","G","2","S",3,"a15:0",0,23.591,-23.042,1.080457,0.7494,6.007,7517.56,"gram+bacteria"
175,"11.06.2","G","2","S",3,"15:0",0,2.751,-19.177,1.084685,0.7494,6.007,876.64,"bacteria"
176,"11.06.2","G","2","S",3,"16:1n9/i16:0",0,2.709,26.317,1.134426,0.7606,6.007,812.49,"bacteria"
177,"11.06.2","G","2","S",3,"16:0",0,27.062,-18.47,1.085458,0.755,6.007,8115.73,"bacteria"
178,"11.06.2","G","2","S",3,"i17:0",0,4.539,-35.054,1.067314,0.76,6.007,1285.58,"gram+bacteria"
179,"11.06.2","G","2","S",3,"17:0cy",0,7.42,-23.665,1.079775,0.7654,6.007,2101.64,"gram-bacteria"
180,"11.06.2","G","2","S",3,"17:0",0,5.271,-29.292,1.073619,0.76,6.007,1492.92,"bacteria"
181,"11.06.2","G","2","S",3,"18:3n6",0,0.588,-15.338,1.088885,0.7765,6.007,166.55,"fungi"
182,"11.06.2","G","2","S",3,"trans-18:1n9",0,6.318,-1.533,1.103982,0.7697,6.007,1695.33,"gram-bacteria"
183,"11.06.2","G","2","S",3,"18:0",0,5.562,-6.814,1.098207,0.7645,6.007,1492.47,"bacteria"
184,"11.06.2","G","2","S",3,"19:0cy",0,29.297,-35.379,1.066959,0.7736,6.007,7468.4,"gram-bacteria"
185,"11.06.2","G","2","S",3,"19:0",0,15.07,-32.722,1.069866,0.8216,6.007,3841.68,"standard"
186,"11.06.2","G","2","S",3,"20:4n6",0,0.745,-17.332,1.086703,0.7919,6.007,180.88,"protozoa"
187,"11.06.2","G","2","S",3,"20:5n3",0,1.112,-32.765,1.069819,0.797,6.007,269.97,"protozoa"
188,"11.06.3","G","3","S",1,"12:0",0,13.145,-30.895,1.071865,0.7285,6.012,6174.17,"standard"
189,"11.06.3","G","3","S",1,"14:0",0,1.643,-20.603,1.083125,0.7432,6.012,668.9,"bacteria"
190,"11.06.3","G","3","S",1,"a15:0",0,22.963,-23.396,1.08007,0.7494,6.012,8764.26,"gram+bacteria"
191,"11.06.3","G","3","S",1,"15:0",0,2.421,-22.892,1.080621,0.7494,6.012,924.03,"bacteria"
192,"11.06.3","G","3","S",1,"16:1n9/i16:0",0,4.272,-0.072,1.10558,0.7606,6.012,1534.6,"bacteria"
193,"11.06.3","G","3","S",1,"16:0",0,35.114,-23.801,1.079627,0.755,6.012,12612.62,"bacteria"
194,"11.06.3","G","3","S",1,"i17:0",0,5.689,-30.488,1.072311,0.76,6.012,1929.9,"gram+bacteria"
195,"11.06.3","G","3","S",1,"17:0cy",0,8.588,-27.086,1.076033,0.7654,6.012,2913.42,"gram-bacteria"
196,"11.06.3","G","3","S",1,"17:0",0,6.671,-31.132,1.071606,0.76,6.012,2263.01,"bacteria"
197,"11.06.3","G","3","S",1,"18:3n6",0,0.503,-18.995,1.084885,0.7765,6.012,170.63,"fungi"
198,"11.06.3","G","3","S",1,"trans-18:1n9",0,11.047,-23.434,1.080028,0.7697,6.012,3550.38,"gram-bacteria"
199,"11.06.3","G","3","S",1,"18:0",0,9.173,-24.297,1.079085,0.7645,6.012,2948.12,"bacteria"
200,"11.06.3","G","3","S",1,"19:0cy",0,40.222,-34.346,1.068089,0.7736,6.012,12280.75,"gram-bacteria"
201,"11.06.3","G","3","S",1,"19:0",0,13.124,-33.926,1.068548,0.8216,6.012,4007.11,"standard"
202,"11.06.3","G","3","S",1,"20:4n6",0,0.457,-40.391,1.061474,0.7919,6.012,132.89,"protozoa"
203,"11.06.3","G","3","S",1,"20:5n3",0,0.615,-35.411,1.066924,0.797,6.012,178.82,"protozoa"
204,"11.06.3","G","3","S",2,"12:0",0,24.909,-29.832,1.073029,0.7285,6.012,5849.85,"standard"
205,"11.06.3","G","3","S",2,"14:0",0,2.934,-26.883,1.076256,0.7432,6.012,597.26,"bacteria"
206,"11.06.3","G","3","S",2,"a15:0",0,40.757,-28.534,1.074449,0.7494,6.012,7777.85,"gram+bacteria"
207,"11.06.3","G","3","S",2,"15:0",0,4.651,-28.36,1.074639,0.7494,6.012,887.57,"bacteria"
208,"11.06.3","G","3","S",2,"16:1n9/i16:0",0,5.976,-23.118,1.080374,0.7606,6.012,1073.35,"bacteria"
209,"11.06.3","G","3","S",2,"16:0",0,55.572,-28.237,1.074774,0.755,6.012,9980.47,"bacteria"
210,"11.06.3","G","3","S",2,"i17:0",0,3.28,-31.059,1.071686,0.76,6.012,556.34,"gram+bacteria"
211,"11.06.3","G","3","S",2,"17:0cy",0,13.521,-29.477,1.073417,0.7654,6.012,2293.46,"gram-bacteria"
212,"11.06.3","G","3","S",2,"17:0",0,10.36,-31.786,1.070891,0.76,6.012,1757.23,"bacteria"
213,"11.06.3","G","3","S",2,"18:3n6",0,0.868,-27.927,1.075112,0.7765,6.012,147.23,"fungi"
214,"11.06.3","G","3","S",2,"trans-18:1n9",0,18.754,-27.879,1.075166,0.7697,6.012,3013.66,"gram-bacteria"
215,"11.06.3","G","3","S",2,"18:0",0,12.79,-30.738,1.072038,0.7645,6.012,2055.28,"bacteria"
216,"11.06.3","G","3","S",2,"19:0cy",0,69.032,-32.364,1.070258,0.7736,6.012,10538.56,"gram-bacteria"
217,"11.06.3","G","3","S",2,"19:0",0,23.9,-31.897,1.070769,0.8216,6.012,3648.65,"standard"
