"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C"
304,"12.05.3","2.5 ul","17:0cy",0,3.17,-19.826,1.083975,"0.7654"
305,"12.05.3","2.5 ul","17:0",0,2.559,-21.264,1.082403,"0.76"
306,"12.05.3","2.5 ul","trans-18:1n9",0,3.914,43.595,1.153304,"0.7697"
307,"12.05.3","2.5 ul","18:0",0,2.899,68.389,1.180381,"0.7645"
308,"12.05.3","2.5 ul","19:0cy",0,8.691,-21.476,1.08217,"0.7736"
309,"12.05.3","2.5 ul","19:0",0,11.059,-31.359,1.071357,"0.8216"
310,"12.05.3","2.5 ul","20:5n3",0,0.877,-30.015,1.072829,"0.797"
311,"12.09.3","2.5 ul","12:0",0,15.216,-30.719,1.072057,"0.7285"
312,"12.09.3","2.5 ul","14:0",0,3.07,-10.279,1.094418,"0.7432"
313,"12.09.3","2.5 ul","a15:0",0,48.74,-18.29,1.085655,"0.7494"
314,"12.09.3","2.5 ul","15:0",0,5.944,-16.025,1.088133,"0.7494"
315,"12.09.3","2.5 ul","16:1n9/i16:0",0,7.565,-0.765,1.104823,"0.7606"
